"""'Job""","""'Workflow""","""'Failure rate""","""'Avg run time""","""'Avg queue time""","""'Runner type""","""'Runner labels""","""'Job runs"""
"""'Cancel CI-Build for 76752""","""'.github/workflows/cancel-CI-build.yml""",0.00,3651,2965,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76611""","""'.github/workflows/cancel-CI-build.yml""",0.00,3636,2739,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76712""","""'.github/workflows/cancel-CI.yml""",0.00,3634,2195,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76664""","""'.github/workflows/cancel-coverage.yml""",0.00,3633,2802,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76698""","""'.github/workflows/cancel-CI-build.yml""",0.00,3612,2496,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76576""","""'.github/workflows/cancel-CI-build.yml""",0.00,3590,4963,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76693""","""'.github/workflows/cancel-windows.yml""",0.00,3587,2261,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76737""","""'.github/workflows/cancel-coverage.yml""",0.00,3579,3140,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76699""","""'.github/workflows/cancel-windows.yml""",0.00,3569,4623,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76712""","""'.github/workflows/cancel-coverage.yml""",0.00,3558,2049,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76676""","""'.github/workflows/cancel-CI.yml""",0.00,3554,2552,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76746""","""'.github/workflows/cancel-CI-build.yml""",0.00,3551,2208,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76679""","""'.github/workflows/cancel-coverage.yml""",0.00,3545,2604,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76685""","""'.github/workflows/cancel-coverage.yml""",0.00,3543,2120,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76686""","""'.github/workflows/cancel-windows.yml""",0.00,3534,2067,"""'hosted""","""'ubuntu-latest""",1
"""'Prepare""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",0.00,3529,2195,"""'hosted""","""'ubuntu-latest""",2
"""'Cancel Coverage for 76726""","""'.github/workflows/cancel-coverage.yml""",0.00,3528,2426,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76656""","""'.github/workflows/cancel-CI-build.yml""",0.00,3499,5223,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76745""","""'.github/workflows/cancel-coverage.yml""",0.00,3491,6960,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76706""","""'.github/workflows/cancel-CI.yml""",0.00,3426,3231,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76656""","""'.github/workflows/cancel-CI.yml""",0.00,3423,4927,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76685""","""'.github/workflows/cancel-CI.yml""",0.00,3413,2903,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76647""","""'.github/workflows/cancel-windows.yml""",0.00,3398,2899,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76741""","""'.github/workflows/cancel-coverage.yml""",0.00,3379,1994849,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76660""","""'.github/workflows/cancel-windows.yml""",0.00,3373,2457,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76552""","""'.github/workflows/cancel-windows.yml""",0.00,3364,2578,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76752""","""'.github/workflows/cancel-CI.yml""",0.00,3357,5332,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76652""","""'.github/workflows/cancel-windows.yml""",0.00,3342,5743,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76660""","""'.github/workflows/cancel-coverage.yml""",0.00,3335,3034,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76694""","""'.github/workflows/cancel-CI.yml""",0.00,3329,2612,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76737""","""'.github/workflows/cancel-windows.yml""",0.00,3323,2960,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76660""","""'.github/workflows/cancel-CI-build.yml""",0.00,3316,2851,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76742""","""'.github/workflows/cancel-CI.yml""",0.00,3312,13135,"""'hosted""","""'ubuntu-latest""",1
