"""'Job""","""'Workflow""","""'Total minutes""","""'Job runs""","""'Runner type""","""'Runner labels"""
"""'build docker images / Build docker""","""'.github/workflows/CI.yml""",476,186,"""'self-hosted""","""'"""
"""'Coverage test""","""'.github/workflows/Night_ALL_Coverage.yml""",476,2,"""'self-hosted""","""'"""
"""'build docker images / Build docker""","""'.github/workflows/CI-Build.yml""",475,185,"""'self-hosted""","""'"""
"""'Coverage build docker / Build docker""","""'.github/workflows/Coverage.yml""",468,187,"""'self-hosted""","""'"""
"""'Clone-windows / Clone Paddle""","""'.github/workflows/CI-Windows.yml""",459,199,"""'self-hosted""","""'"""
"""'CE-Framework / Whl""","""'.github/workflows/CI-Build.yml""",450,141,"""'self-hosted""","""'"""
"""'Check""","""'.github/workflows/CheckPRTemplate.yml""",329,316,"""'self-hosted""","""'"""
"""'Check approval""","""'.github/workflows/Approval.yml""",280,280,"""'self-hosted""","""'"""
"""'Distribute-stable / Build""","""'.github/workflows/CI.yml""",233,5,"""'self-hosted""","""'"""
"""'Pre Commit""","""'.github/workflows/Codestyle-Check.yml""",205,203,"""'self-hosted""","""'"""
"""'Windows-OPENBLAS / Check bypass / Check bypass""","""'.github/workflows/CI-Windows.yml""",198,193,"""'self-hosted""","""'"""
"""'Windows-GPU / Check bypass / Check bypass""","""'.github/workflows/CI-Windows.yml""",194,194,"""'self-hosted""","""'"""
"""'Windows-Inference / Check bypass / Check bypass""","""'.github/workflows/CI-Windows.yml""",193,193,"""'self-hosted""","""'"""
"""'Linux-DCU / Check bypass / Check bypass""","""'.github/workflows/CI.yml""",181,181,"""'self-hosted""","""'"""
"""'PR-CI-SOT / Check bypass / Check bypass""","""'.github/workflows/CI.yml""",180,180,"""'self-hosted""","""'"""
"""'PR-CI-Inference / Check bypass / Check bypass""","""'.github/workflows/CI-Build.yml""",180,180,"""'self-hosted""","""'"""
"""'Linux-XPU / Check bypass / Check bypass""","""'.github/workflows/CI.yml""",180,180,"""'self-hosted""","""'"""
"""'Slice / Check bypass / Check bypass""","""'.github/workflows/CI-Build.yml""",150,150,"""'self-hosted""","""'"""
"""'Remove skip-ci labels on new commits""","""'.github/workflows/remove-skip-ci-labels.yml""",150,150,"""'hosted""","""'ubuntu-latest"""
"""'Distribute-stable-test / Check bypass / Check bypass""","""'.github/workflows/CI.yml""",148,148,"""'self-hosted""","""'"""
"""'Coverage build""","""'.github/workflows/Night_ALL_Coverage.yml""",144,2,"""'self-hosted""","""'"""
"""'Distribute-stable-formers / Check bypass / Check bypass""","""'.github/workflows/CI.yml""",143,143,"""'self-hosted""","""'"""
"""'Model-Benchmark / Check bypass / Check bypass""","""'.github/workflows/CI-Build.yml""",143,143,"""'self-hosted""","""'"""
"""'Api-Benchmark / Check bypass / Check bypass""","""'.github/workflows/CI-Build.yml""",142,142,"""'self-hosted""","""'"""
"""'Auto-Parallel / Check bypass / Check bypass""","""'.github/workflows/CI-Build.yml""",142,142,"""'self-hosted""","""'"""
"""'Doc-Preview / Check bypass / Check bypass""","""'.github/workflows/CI-Build.yml""",137,137,"""'self-hosted""","""'"""
"""'Linux-NPU / Check bypass / Check bypass""","""'.github/workflows/CI.yml""",127,127,"""'self-hosted""","""'"""
"""'re-run""","""'.github/workflows/rerun.yml""",121,121,"""'self-hosted""","""'"""
"""'Api benchmark build / Build""","""'.github/workflows/Api-Benchmark-baseline.yml""",88,2,"""'self-hosted""","""'"""
"""'Api benchmark baseline with schedule (api-bm-20) / Performance data storage""","""'.github/workflows/Api-Benchmark-baseline.yml""",47,2,"""'self-hosted""","""'self-hosted, api-bm-20"""
